Nom;Table;nbr
3091293_TempRet;techant13156;120
3091294_TempRet;techant13200;120
3091294_TempRet;techant13194;120
3091278_TempRet;techant11180;120
3091278_TempRet;techant11174;120
3091280_TempRet;techant14625;120
3091280_TempRet;techant14619;120
502171790_TempRet;techant6684;120
502171790_TempRet;techant6675;120
1511158_TempRet;techant21820;120
1511158_TempRet;techant21813;120
1511163_TempRet;techant14665;120
1511163_TempRet;techant14658;120
1510597_TempRet;techant21857;120
1510597_TempRet;techant21848;120
1510716_TempRet;techant16570;120
1510716_TempRet;techant16560;120
1510703_TempRet;techant17994;120
1510703_TempRet;techant17984;120
190244089_TempRet;techant15276;120
190244089_TempRet;techant15270;120
1511649_TempRet;techant15309;120
1511649_TempRet;techant15300;120
1510685_TempRet;techant15342;120
1510685_TempRet;techant15336;120
1511208_TempRet;techant15375;120
1511208_TempRet;techant15369;120
1510721_TempRet;techant15408;120
1510721_TempRet;techant15402;120
190207600_TempRet;techant172;120
190207600_TempRet;techant701;120
190207601_TempRet;techant175;120
190207601_TempRet;techant704;120
235556766_TempRet;techant16105;120
235556766_TempRet;techant16095;120
235556765_TempRet;techant16138;120
235556765_TempRet;techant16128;120
235555180_TempRet;techant15444;120
235555180_TempRet;techant15438;120
190620888_TempRet;techant15469;120
190620888_TempRet;techant15463;120
1510532_TempRet;techant15502;120
1510532_TempRet;techant15496;120
192008607_TempRet;techant19146;120
192008607_TempRet;techant19136;120
1510732_TempRet;techant21898;120
1510732_TempRet;techant21888;120
191742188_TempRet;techant20963;120
191742188_TempRet;techant20946;120
1510625_TempRet;techant21000;120
1510625_TempRet;techant20990;120
1517338_TempRet;techant21032;120
1517338_TempRet;techant21025;120
3091405_TempRet;techant6729;120
3091405_TempRet;techant6721;120
3091404_TempRet;techant11756;120
3091404_TempRet;techant6870;120
1510740_TempRet;techant16606;120
1510740_TempRet;techant16600;120
1517139_TempRet;techant14745;120
1517139_TempRet;techant14735;120
1511428_TempRet;techant18032;120
1511428_TempRet;techant18026;120
191984796_TempRet;techant21931;120
191984796_TempRet;techant21921;120
1511228_TempRet;techant18503;120
1511228_TempRet;techant18494;120
1511122_TempRet;techant18534;120
1511122_TempRet;techant18527;120
1510686_TempRet;techant18065;120
1510686_TempRet;techant18059;120
3091118_TempRet;techant18135;120
3091118_TempRet;techant18125;120
1511166_TempRet;techant18164;120
1511166_TempRet;techant18158;120
