Nom;Table;nbr
3091289_TempRet;techant12967;120
3091289_PuisCpt;techant12957;120
3091290_TempRet;techant13009;120
3091290_PuisCpt;techant12999;120
3091291_TempRet;techant13047;120
3091291_PuisCpt;techant13033;120
3091292_TempRet;techant13089;120
3091292_PuisCpt;techant13079;120
3091295_TempRet;techant13128;120
3091295_PuisCpt;techant13117;120
3091296_TempRet;techant15246;120
3091296_PuisCpt;techant15233;120
3091298_TempRet;techant12527;120
3091298_PuisCpt;techant12513;120
3091299_TempRet;techant12566;120
3091299_PuisCpt;techant12551;120
3091293_TempRet;techant13162;120
3091293_PuisCpt;techant13152;120
3091294_TempRet;techant13200;120
3091294_PuisCpt;techant13190;120
3091278_TempRet;techant11180;120
3091278_PuisCpt;techant11171;120
3091280_TempRet;techant14625;120
3091280_PuisCpt;techant14613;120
502171790_TempRet;techant6684;120
502171790_PuisCpt;techant6671;120
1511158_TempRet;techant21820;120
1511158_PuisCpt;techant21809;120
1511163_TempRet;techant14665;120
1511163_PuisCpt;techant14655;120
1510597_TempRet;techant21857;120
1510597_PuisCpt;techant21845;120
1510716_TempRet;techant16570;120
1510716_PuisCpt;techant16557;120
1510703_TempRet;techant17994;120
1510703_PuisCpt;techant17981;120
190244089_TempRet;techant15276;120
190244089_PuisCpt;techant15267;120
1511649_TempRet;techant15309;120
1511649_PuisCpt;techant15296;120
1510685_TempRet;techant15342;120
1510685_PuisCpt;techant15329;120
1511208_TempRet;techant15375;120
1511208_PuisCpt;techant15366;120
1510721_TempRet;techant15408;120
1510721_PuisCpt;techant15396;120
190207600_TempRet;techant172;120
190207600_PuisCpt;techant21411;120
190207601_TempRet;techant175;120
190207601_PuisCpt;techant21439;120
235556766_TempRet;techant16105;120
235556766_PuisCpt;techant16092;120
235556765_TempRet;techant16138;120
235556765_PuisCpt;techant16125;120
235555180_TempRet;techant15444;120
235555180_PuisCpt;techant15435;120
190620888_TempRet;techant15469;120
190620888_PuisCpt;techant15460;120
1510532_TempRet;techant15502;120
1510532_PuisCpt;techant15489;120
192008607_TempRet;techant19146;120
192008607_PuisCpt;techant19133;120
1510732_TempRet;techant21898;120
1510732_PuisCpt;techant21885;120
191742188_TempRet;techant20963;120
191742188_PuisCpt;techant20943;120
1510625_TempRet;techant21000;120
1510625_PuisCpt;techant20987;120
1517338_TempRet;techant21032;120
1517338_PuisCpt;techant21022;120
3091405_TempRet;techant6729;120
3091405_PuisCpt;techant6718;120
3091404_TempRet;techant11756;120
3091404_PuisCpt;techant6867;120
1510740_TempRet;techant16606;120
1510740_PuisCpt;techant16593;120
1517139_TempRet;techant14745;120
1517139_PuisCpt;techant14731;120
1511428_TempRet;techant18032;120
1511428_PuisCpt;techant18023;120
191984796_TempRet;techant21931;120
191984796_PuisCpt;techant21918;120
1511228_TempRet;techant18503;120
1511228_PuisCpt;techant18491;120
1511122_TempRet;techant18534;120
1511122_PuisCpt;techant18524;120
1510686_TempRet;techant18065;120
1510686_PuisCpt;techant18056;120
3091118_TempRet;techant18135;120
3091118_PuisCpt;techant18122;120
1511166_TempRet;techant18164;120
1511166_PuisCpt;techant18155;120
190508028_TempRet;techant18272;120
190508028_PuisCpt;techant18263;120
1511521_TempRet;techant18557;120
1511521_PuisCpt;techant18548;120
190204057_TempRet;techant19215;120
190204057_PuisCpt;techant19206;120
190193697_TempRet;techant19257;120
190193697_PuisCpt;techant19233;120
190193694_TempRet;techant19287;120
190193694_PuisCpt;techant19277;120
1511230_TempRet;techant19329;120
1511230_PuisCpt;techant19308;120
1510539_TempRet;techant19375;120
1510539_PuisCpt;techant19366;120
1517193_TempRet;techant21975;120
1517193_PuisCpt;techant21965;120
1517329_TempRet;techant23451;120
1517329_PuisCpt;techant23441;120
1517311_TempRet;techant22396;120
1517311_PuisCpt;techant22383;120
1517283_TempRet;techant22008;120
1517283_PuisCpt;techant21999;120
1517167_TempRet;techant22055;120
1517167_PuisCpt;techant22039;120
191318932_TempRet;techant19773;120
191318932_PuisCpt;techant19792;120
1510706_TempRet;techant22433;120
1510706_PuisCpt;techant22424;120
1511670_TempRet;techant23705;120
1511670_PuisCpt;techant23725;120
3091164_TempRet;techant22466;120
3091164_PuisCpt;techant22457;120
191092172_TempRet;techant23487;120
191092172_PuisCpt;techant23478;120
1517672_TempRet;techant22497;120
1517672_PuisCpt;techant22488;120
191657534_TempRet;techant22538;120
191657534_PuisCpt;techant22521;120
2412928_TempRet;techant22567;120
2412928_PuisCpt;techant22558;120
1510719_TempRet;techant22604;120
1510719_PuisCpt;techant22591;120
191127811_TempRet;techant23520;120
191127811_PuisCpt;techant23511;120
1517226_TempRet;techant23553;120
1517226_PuisCpt;techant23544;120
1511555_TempRet;techant23590;120
1511555_PuisCpt;techant23577;120
3091169_TempRet;techant23620;120
3091169_PuisCpt;techant23610;120
1515853_TempRet;techant22640;120
1515853_PuisCpt;techant22656;120
1511718_TempRet;techant23653;120
1511718_PuisCpt;techant23643;120
235556390_TempRet;techant23689;120
235556390_PuisCpt;techant23673;120
190213104_TempRet;techant18099;120
190213104_PuisCpt;techant18089;120
